ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777842850.556,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,35.42,2235.42,98.42,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842858.298,adaptive,guide,iphone,"Obstacle on your right, move left.",6,directional,12.78,2212.78,99.42,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842861.486,adaptive,guide,iphone,"Obstacle on your left, move right.",6,directional,36.48,2236.48,98.37,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842864.991,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,34.75,2234.75,98.45,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842877.012,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,19.05,2219.05,99.14,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842889.043,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,26.54,2226.54,98.81,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842901.065,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,21.79,2221.79,99.02,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842909.605,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,26.33,2226.33,98.82,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842913.092,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,39.13,2239.13,98.25,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777842914.552,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,563.33,2763.33,79.61,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
