ts,protocol,selected_protocol,source,device,message,word_count,closest_label,distance_m,direction,action_category,t_frame_received,t_detection_done,t_decision_started,t_message_generated,t_tts_requested,t_audio_started,t_audio_completed,detection_latency_ms,decision_latency_ms,speech_latency_ms,response_latency_ms,cascaded_latency_ms,improvement_pct,is_duplicate,overlap_skipped
1777842850.556,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777842850.521,,1777842850.532,1777842850.532,1777842850.532,1777842850.556,1777842852.323,,0.03,23.74,35.42,2235.42,98.42,False,False
1777842858.298,adaptive,adaptive,guide,iphone,"Obstacle on your right, move left.",6,obstacle,1.5,right,directional,1777842858.285,1777842858.289,1777842858.293,1777842858.293,1777842858.293,1777842858.298,1777842860.798,4.01,0.06,5.36,12.78,2212.78,99.42,False,False
1777842861.486,adaptive,adaptive,guide,iphone,"Obstacle on your left, move right.",6,obstacle,1.5,left,directional,1777842861.449,1777842861.42,1777842861.456,1777842861.456,1777842861.456,1777842861.486,1777842863.486,-29.01,0.03,29.7,36.48,2236.48,98.37,False,False
1777842864.991,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777842864.957,1777842864.759,1777842864.965,1777842864.965,1777842864.965,1777842864.991,1777842866.417,-197.34,0.04,26.76,34.75,2234.75,98.45,False,False
1777842877.012,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777842876.993,1777842876.998,1777842877.002,1777842877.002,1777842877.002,1777842877.012,1777842878.476,4.82,0.04,10.05,19.05,2219.05,99.14,False,False
1777842889.043,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777842889.017,1777842888.814,1777842889.026,1777842889.026,1777842889.026,1777842889.043,1777842890.61,-202.83,0.04,17.22,26.54,2226.54,98.81,False,False
1777842901.065,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777842901.044,1777842900.994,1777842901.052,1777842901.052,1777842901.052,1777842901.065,1777842902.571,-49.86,0.06,13.75,21.79,2221.79,99.02,False,False
1777842909.605,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Mobile phone,1.087,ahead,directional,1777842909.579,1777842909.552,1777842909.586,1777842909.586,1777842909.586,1777842909.605,1777842910.687,-26.83,0.04,19.12,26.33,2226.33,98.82,False,False
1777842913.092,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777842913.052,1777842913.016,1777842913.061,1777842913.061,1777842913.061,1777842913.092,1777842914.551,-36.76,0.03,30.27,39.13,2239.13,98.25,False,False
1777842914.552,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Mobile phone,1.087,ahead,directional,1777842913.989,1777842913.926,1777842913.994,1777842913.994,1777842913.994,1777842914.552,1777842916.779,-62.57,0.04,557.75,563.33,2763.33,79.61,False,False
1777842918.034,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Mobile phone,1.087,ahead,directional,1777842917.996,1777842917.968,1777842918.003,1777842918.003,1777842918.003,1777842918.034,1777842920.265,-27.13,0.04,30.85,38.76,2238.76,98.27,False,False
1777842922.025,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Mobile phone,1.087,ahead,directional,1777842922.018,1777842921.845,1777842922.024,1777842922.024,1777842922.024,1777842922.025,1777842924.254,-173.62,0.03,1.09,6.6,2206.6,99.7,False,False
