ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777898023.163,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,13.79,2213.79,99.38,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898024.591,adaptive,det,iphone,"Obstacle on your left, move right.",6,directional,448.05,2648.05,83.08,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898027.386,adaptive,guide,iphone,"Obstacle on your right, move left.",6,directional,39.65,2239.65,98.23,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898031.396,adaptive,guide,iphone,"Obstacle on your right, move left.",6,directional,16.9,2216.9,99.24,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898033.935,adaptive,guide,iphone,"Obstacle on your left, move right.",6,directional,1856.09,4056.09,54.24,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898035.213,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,28.15,2228.15,98.74,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898047.229,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,25.17,2225.17,98.87,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898059.228,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,12.41,2212.41,99.44,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898069.757,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,69.6,2269.6,96.93,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898073.869,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,19.53,2219.53,99.12,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898076.552,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,26.27,2226.27,98.82,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898080.229,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,13.87,2213.87,99.37,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898083.298,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,20.07,2220.07,99.1,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777898086.0,adaptive,det,iphone,"Woman left, 2.1 meters.",4,info,20.76,2220.76,99.07,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777902798.814,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,32.96,2232.96,98.52,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777902800.433,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,15.49,2215.49,99.3,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777902804.352,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,6.89,2206.89,99.69,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777902989.869,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,20.28,2220.28,99.09,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777902993.53,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,27.35,2227.35,98.77,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903052.558,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,43.36,2243.36,98.07,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903061.861,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,19.76,2219.76,99.11,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903065.356,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,14.07,2214.07,99.36,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903079.993,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,739.48,2939.48,74.84,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903083.398,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,23.22,2223.22,98.96,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903094.825,adaptive,det,iphone,"Person ahead, 2.2 meters.",4,info,11.04,2211.04,99.5,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903495.009,adaptive,det,iphone,"Obstacle on your left, move right.",6,directional,31.12,2231.12,98.61,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903518.175,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,31.17,2231.17,98.6,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777903540.912,adaptive,det,iphone,"Obstacle ahead, move right.",4,directional,23.96,2223.96,98.92,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
