ts,protocol,selected_protocol,source,device,message,word_count,closest_label,distance_m,direction,action_category,t_frame_received,t_detection_done,t_decision_started,t_message_generated,t_tts_requested,t_audio_started,t_audio_completed,detection_latency_ms,decision_latency_ms,speech_latency_ms,response_latency_ms,cascaded_latency_ms,improvement_pct,is_duplicate,overlap_skipped
1777898023.163,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777898023.149,,1777898023.154,1777898023.154,1777898023.154,1777898023.163,1777898024.59,,0.05,8.48,13.79,2213.79,99.38,False,False
1777898026.127,adaptive,adaptive,auto,iphone,"Obstacle on your left, move right.",6,Table,0.935,left,directional,1777898026.112,1777898026.085,1777898026.127,1777898026.127,1777898026.127,,,-27.66,0.04,,,,,True,False
1777898024.591,adaptive,adaptive,det,iphone,"Obstacle on your left, move right.",6,Woman,0.898,left,directional,1777898024.143,1777898024.138,1777898024.156,1777898024.156,1777898024.156,1777898024.591,1777898026.345,-4.59,0.02,434.91,448.05,2648.05,83.08,False,False
1777898027.386,adaptive,adaptive,guide,iphone,"Obstacle on your right, move left.",6,obstacle,1.5,right,directional,1777898027.346,1777898027.33,1777898027.359,1777898027.359,1777898027.359,1777898027.386,1777898029.901,-16.09,0.03,26.68,39.65,2239.65,98.23,False,False
1777898031.396,adaptive,adaptive,guide,iphone,"Obstacle on your right, move left.",6,obstacle,1.5,right,directional,1777898031.379,1777898031.371,1777898031.388,1777898031.388,1777898031.388,1777898031.396,1777898033.934,-7.65,0.04,8.01,16.9,2216.9,99.24,False,False
1777898033.935,adaptive,adaptive,guide,iphone,"Obstacle on your left, move right.",6,obstacle,1.5,left,directional,1777898032.079,1777898032.069,1777898032.09,1777898032.09,1777898032.09,1777898033.935,1777898035.213,-10.54,0.03,1844.99,1856.09,4056.09,54.24,False,False
1777898035.213,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777898035.185,1777898035.157,1777898035.192,1777898035.192,1777898035.192,1777898035.213,1777898036.545,-28.44,0.06,21.01,28.15,2228.15,98.74,False,False
1777898047.229,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777898047.203,1777898047.159,1777898047.211,1777898047.211,1777898047.211,1777898047.229,1777898047.862,-43.89,0.05,17.19,25.17,2225.17,98.87,False,False
1777898059.228,adaptive,adaptive,guide,iphone,Stop. Obstacle ahead.,3,obstacle,0.5,ahead,stop,1777898059.216,1777898059.037,1777898059.222,1777898059.222,1777898059.222,1777898059.228,1777898060.662,-179.49,0.04,6.32,12.41,2212.41,99.44,False,False
1777898069.757,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Table,0.599,left,stop,1777898069.687,1777898069.623,1777898069.706,1777898069.706,1777898069.706,1777898069.757,1777898071.179,-63.93,0.03,50.68,69.6,2269.6,96.93,False,False
